"id_producto";"referencia";"categoria_01";"categoria_02";"categoria_03";"categoria_04";"categoria_05";"categoria_06";"categoria_07";"categoria_08";"categoria_09";"categoria_10";"categoria_11";"categoria_12";"categoria_13";"categoria_14";"categoria_15";"categoria_16";"categoria_17";"categoria_18";"categoria_19";"categoria_20";"categoria_21";"categoria_22";"categoria_23";"categoria_24";"categoria_25";"categoria_26";"categoria_27";"categoria_28";"categoria_29";"categoria_30";"categoria_31";"categoria_32";"categoria_33";"categoria_34";"categoria_35";"categoria_36";"categoria_37";"categoria_38";"categoria_39";"categoria_40";"categoria_41";"categoria_42";"categoria_43";"categoria_44";"categoria_45";"categoria_46";"categoria_47";"categoria_48";"categoria_49";"categoria_50"
"9457";"PD4003-55";"Juguetes XXX"
"5846";"PRUEBAXXX"
"12699";"D-205205";"Juguetes XXX|Accesorios para el pene"
"12700";"D-205206";"Juguetes XXX|Accesorios para el pene"
"12941";"D-205450";"Juguetes XXX|Accesorios para el pene"
"12942";"D-205451";"Juguetes XXX|Accesorios para el pene"
"12943";"D-205452";"Juguetes XXX|Accesorios para el pene"
"13811";"D-207054";"Juguetes XXX|Accesorios para el pene"
"14061";"D-207302";"Juguetes XXX|Accesorios para el pene"
"14062";"D-207303";"Juguetes XXX|Accesorios para el pene"
"14063";"D-207304";"Juguetes XXX|Accesorios para el pene"
"14064";"D-207305";"Juguetes XXX|Accesorios para el pene"
"14065";"D-207306";"Juguetes XXX|Accesorios para el pene"
"14538";"D-207794";"Juguetes XXX|Accesorios para el pene"
"14691";"D-208139";"Juguetes XXX|Accesorios para el pene"
"14692";"D-208140";"Juguetes XXX|Accesorios para el pene"
"14693";"D-208141";"Juguetes XXX|Accesorios para el pene"
"14694";"D-208143";"Juguetes XXX|Accesorios para el pene"
"14695";"D-208144";"Juguetes XXX|Accesorios para el pene"
"14696";"D-208145";"Juguetes XXX|Accesorios para el pene"
"14697";"D-208146";"Juguetes XXX|Accesorios para el pene"
"14698";"D-208147";"Juguetes XXX|Accesorios para el pene"
"14713";"D-208162";"Juguetes XXX|Accesorios para el pene"
"14762";"D-208186";"Juguetes XXX|Accesorios para el pene"
"15357";"D-208712";"Juguetes XXX|Accesorios para el pene"
"15358";"D-208713";"Juguetes XXX|Accesorios para el pene"
"15359";"D-208714";"Juguetes XXX|Accesorios para el pene"
"15360";"D-208715";"Juguetes XXX|Accesorios para el pene"
"15463";"D-208884";"Juguetes XXX|Accesorios para el pene"
"15464";"D-208885";"Juguetes XXX|Accesorios para el pene"
"16428";"D-210229";"Juguetes XXX|Accesorios para el pene"
"16981";"D-210750";"Juguetes XXX|Accesorios para el pene"
"17742";"D-211561";"Juguetes XXX|Acuaticos";"Juguetes XXX|Accesorios para el pene"
"17743";"D-211562";"Juguetes XXX|Accesorios para el pene"
"17746";"D-211565";"Juguetes XXX|Accesorios para el pene"
